classifier,recipe,metric,metric_direction,raw_metric_slope_sign_note,bases,checkpoint_seeds,contamination_seed_pairs,n_observations,n_subjects,subject_intercept_slope_oriented,subject_intercept_cluster_se,subject_intercept_p_two_sided,subject_centered_pearson_r,subject_centered_spearman_r,pooled_pearson_r_descriptive,pooled_pearson_p_descriptive,pooled_spearman_r_sensitivity,pooled_spearman_p_sensitivity,bh_fdr_q_subject_intercept,classifier_label,metric_label,recipe_label,source_file
eegnet,eog,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.2134896241065973,0.2085658303947863,0.3359734694869073,-0.0990323713120716,-0.1220832003742041,-0.0731607923054777,0.3548542035718276,0.0260968665008316,0.7416697735946037,0.5249585460732927,EEGNet,T-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,eog,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.1080563477016732,0.0647452275655613,0.1336801520943012,-0.2212874260160378,-0.1644784762107369,0.0129013852149965,0.8705632763963741,-0.0460332861747675,0.5607825558566252,0.2445368635871363,EEGNet,S-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,eog,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0189990720967739,0.0265411692413958,0.4944546335149655,-0.0828090147731211,-0.1347758391628079,-0.0363544309841069,0.6460294039747492,0.12966435092193,0.1000671540607151,0.6557930150449922,EEGNet,SDR,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,eog,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2064895657311985,0.1670685409469844,0.2515323942165694,0.1028462389505416,0.0738822906391562,0.3816983345544283,5.395829447817871e-07,0.3217259315306505,2.9833192034708075e-05,0.4192206570276157,Deep4Net,CC,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,eog,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0092632351865774,0.0205794673912941,0.6645709503741134,0.0443390479594797,0.081769353786834,0.2868140366150548,0.0002153199325764,0.2464051914046671,0.0015732463132493,0.7551942617887653,Deep4Net,RMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,eog,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0225361784545066,0.2802072437514719,0.937873392830862,0.0087802831619532,0.0370548320620194,0.0331974233346811,0.6749399589487656,0.0144984909463213,0.8547067517190369,0.9505473575988468,Deep4Net,T-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,eog,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0155959808232206,0.0406017152319254,0.7108970455826455,0.0268254483093633,0.0006911253877286,0.10192367549404,0.1968442289469124,-0.015846301600827,0.8413701128371884,0.7867303932662759,Deep4Net,S-RRMSE,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,eog,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0024763609402352,0.0292852558506721,0.934689019934512,0.0090654009144502,0.0202281029351467,0.0723713594417515,0.3600840572071868,0.1019424703625705,0.1967612418593613,0.9505473575988468,Deep4Net,SDR,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,emg,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.5575999646622142,0.2984170115916617,0.0986301694810043,0.2321521802591355,0.3128133967420328,0.0553568083276755,0.063441724540637,0.2257098737971944,1.8420911565456244e-14,0.1872960548918255,CSP+LDA,CC,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,emg,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.0745963074717807,0.0198265860429175,0.0055250337580063,0.3250634060622264,0.2903012030785411,0.1420169891642085,1.7325068616686831e-06,0.0064218138683225,0.82964495038252,0.0243751489323807,CSP+LDA,RMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,emg,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.7991174168468014,0.186898407145528,0.0027032903454115,0.3333186681126842,0.3736834833112104,0.1299653233818425,1.2261688286996611e-05,0.2644426379737373,1.8658838183014044e-19,0.0155959058389128,CSP+LDA,T-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,emg,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.4149989861023266,0.0741819176213861,0.0005136252185619,0.3544608782471778,0.3755791934583039,0.1923788394301818,7.703691253425165e-11,0.276271445864046,3.711496124787701e-21,0.0044946177004193,CSP+LDA,S-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,emg,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.0601139402165586,0.0137769673697209,0.0024017710732006,0.3227910149547791,0.3659124581554841,0.1637787645349473,3.303430339590099e-08,0.2576482190581162,1.6226084519770349e-18,0.0150110692075042,CSP+LDA,SDR,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,emg,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.3990118599563305,0.1220364804252547,0.0113628127179736,0.2105104481120885,0.2944457519516099,0.2116493524486357,0.0068572997534048,0.2890143715615523,0.0001914896504196,0.0387368615385465,ShallowFBCSPNet,CC,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,emg,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0451827570205218,0.015626148708415,0.0201532243319345,0.2406532250854561,0.2447408608202815,0.1353480017993321,0.0859298185901021,-0.12329917452268,0.1180148150863477,0.0657170358650038,ShallowFBCSPNet,RMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,emg,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.4723498292040394,0.1348089872166203,0.0080336858423647,0.2461063215052524,0.275891959000431,0.2604763479610149,0.0008150601098057,0.321280130088377,3.064442141537459e-05,0.0324438376708006,ShallowFBCSPNet,T-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,emg,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2190853454094982,0.0577663277692379,0.0052920740483565,0.2559196898534214,0.2805082173739375,0.3697442902894483,1.2830902432417035e-06,0.4710515656856634,2.5147012652062535e-10,0.0243751489323807,ShallowFBCSPNet,S-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,emg,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0399233654036421,0.0116194738245354,0.0088772679313166,0.2494690180023554,0.2994792656751202,0.2826307849414073,0.0002684034280055,0.3172832519435092,3.890449757903228e-05,0.0324438376708006,ShallowFBCSPNet,SDR,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,emg,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.7695431757184542,0.3983632651036856,0.089476964781171,0.2504329446675108,0.3385680783162778,-0.0487746829633186,0.5376568495538626,0.1219828708575763,0.1220209433221805,0.1808125653939684,EEGConformer,CC,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,emg,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0931165294347078,0.023093606071711,0.0037768248280508,0.3059259780025654,0.2784252077856499,-0.05907741568965,0.4552068455708513,-0.1186973270386616,0.1324796644400303,0.0188841241402544,EEGConformer,RMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,emg,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,1.0355639136805583,0.2046656849405905,0.0009773121978826,0.3328177899474168,0.3581966160833058,0.0392520460628508,0.6199512061654385,0.1334469913219424,0.0904686384769427,0.006663492258291,EEGConformer,T-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,emg,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.3646771662931002,0.0484834168926172,6.787083109141414e-05,0.2627662367633933,0.2740492825207858,0.1100822657308868,0.1631634314054206,0.1466710229298595,0.0625401514934089,0.0016967707772853,EEGConformer,S-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegconformer,emg,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0862308582501892,0.0155299373773196,0.0005393541240503,0.332370752337635,0.3555010521102326,0.0772241398899569,0.3286923662149011,0.1332606976002513,0.0909235212551013,0.0044946177004193,EEGConformer,SDR,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,emg,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2602917121749961,0.1358177157585548,0.0916116997996106,0.1016578997309614,0.134782855616713,0.0739289159344388,0.3498113641086325,0.1491456914852593,0.0581953351268842,0.1808125653939684,EEGNet,CC,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,emg,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0202775209918833,0.0109003889685595,0.0998912292756402,0.0799515264223853,0.076269724590921,0.0525892768970127,0.5062877168559016,0.154510126593186,0.049626424504058,0.1872960548918255,EEGNet,RMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,emg,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.2340365339821245,0.1207977727842872,0.0886983551478807,0.0902683711169707,0.0941673537313898,0.0656937409445198,0.4062178618734164,0.125305639434984,0.1121057824459524,0.1808125653939684,EEGNet,T-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,emg,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.1592280196878706,0.0620347934131001,0.0332952917112481,0.1376901292115556,0.0967452295255092,-0.110255530704725,0.1624980560696359,-0.1029418302478739,0.1923851368889443,0.1040477865976503,EEGNet,S-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
eegnet,emg,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0126284240663453,0.009445986143566,0.2180198670030018,0.058415967305094,0.0599060539681983,0.0795095218095962,0.3145368895220852,0.1192101395057193,0.1308034185028648,0.3716247733005713,EEGNet,SDR,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,emg,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0374023997759052,0.2091648246746064,0.8625263638366846,0.017099530499591,0.0407690452307741,-0.2446829413544706,0.0017008737516548,-0.2074895050158164,0.0080645179851451,0.911119398419033,Deep4Net,CC,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,emg,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0128323000596847,0.0231478837253328,0.5944849438393889,-0.0592270813817353,-0.0649290046651616,-0.4136532238987795,4.4690449701518927e-08,-0.495829872679089,1.962197646845952e-11,0.6929047542657458,Deep4Net,RMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,emg,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0967791456945829,0.2541821678782728,0.7133022232280901,-0.0436955950261226,-0.0300364006012083,-0.2171224744206356,0.005514986694472,-0.1932745890909961,0.0137313529858329,0.7867303932662759,Deep4Net,T-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,emg,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0810309210387588,0.0519330376053669,0.1573111515044005,0.0820234466646694,0.083574478508534,-0.0416350774811894,0.5988516095519912,-0.002166391575119,0.9781724617093224,0.2809127705435724,Deep4Net,S-RRMSE,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
deep4net,emg,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,-0.0146910096089461,0.0209733483506838,0.503498331681969,-0.0795495969784657,-0.0721128232061622,-0.2125238033084369,0.0066250097410545,-0.1969341678234285,0.0120116824921854,0.6557930150449922,Deep4Net,SDR,EMG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog_emg_line,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.5038801672241559,0.2625157034223829,0.0911958586644469,0.226420532829894,0.3158572406574374,0.0773103404539065,0.0094847678671065,0.2585859139685402,1.2083872904246418e-18,0.1808125653939684,CSP+LDA,CC,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog_emg_line,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.066636769196859,0.0125017647775518,0.0007023701294435,0.3098462558629307,0.273480902946304,0.0456107987246816,0.1262823610862431,-0.0836145039839146,0.0050111925832699,0.0052677759708267,CSP+LDA,RMSE,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog_emg_line,T_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.7049598726809023,0.123460290756706,0.0004491674128167,0.3152364837112834,0.3362274019198582,0.1616450843338844,4.9917781703746125e-08,0.2904881295121844,2.5802624717135852e-23,0.0044946177004193,CSP+LDA,T-RRMSE,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog_emg_line,S_RRMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.3462965080434802,0.0532066905637668,0.0001864244583879,0.3178088504598944,0.3270075839116074,0.2381614838198648,5.676285308988152e-16,0.3113345632707104,1.0415709644683416e-26,0.0027963668758189,CSP+LDA,S-RRMSE,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
csp_lda,eog_emg_line,SDR,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,2 4 6 8 16,42 43 44 45 46,1 2 3 4 5,1125,9,0.0537379134658875,0.0085612931538407,0.0002386757656863,0.3081697604951633,0.3251421677682672,0.1998842884887296,1.3307561475995698e-11,0.2824114265728778,4.4967670641763e-22,0.0029834470710798,CSP+LDA,SDR,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog_emg_line,CC,higher_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.4461895725123227,0.1302045388956725,0.0089967358302002,0.2197073664459396,0.2342315257022136,0.092691702580777,0.2407298004699354,0.2349706763022534,0.0026143291467769,0.0324438376708006,ShallowFBCSPNet,CC,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
shallowfbcsp,eog_emg_line,RMSE,lower_better,positive oriented slope means better reconstruction is associated with better downstream delta,6 16,42 43 44,1 2 3,162,9,0.0479094984351455,0.0068522012654311,0.000113560046627,0.2373162041267575,0.2420251099185158,-0.0871611231166992,0.2700750197170806,-0.2456077955724203,0.0016312102585102,0.0021292508742575,ShallowFBCSPNet,RMSE,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_subject_intercept_metric_tests.csv
